timestamp,temperature,humidity,light_received,hour_of_day,temp_lag_1,hum_lag_1,light_lag_1,temp_target
1970-01-01 00:00:04.410,21.1,43,2864,0,21.9,42.0,0.0,21.2
1970-01-01 00:00:04.886,21.2,43,0,0,21.1,43.0,2864.0,21.3
1970-01-01 00:00:04.898,21.3,43,0,0,21.2,43.0,0.0,23.0
1970-01-01 00:00:04.923,23.0,50,0,0,21.3,43.0,0.0,21.1
1970-01-01 00:00:04.926,21.1,43,4095,0,23.0,50.0,0.0,21.8
1970-01-01 00:00:04.928,21.8,42,0,0,21.1,43.0,4095.0,21.4
1970-01-01 00:00:05.841,21.4,49,0,0,21.8,42.0,0.0,23.0
1970-01-01 00:00:10.591,23.0,49,1023,0,21.4,49.0,0.0,22.2
1970-01-01 00:00:10.592,22.2,49,1023,0,23.0,49.0,1023.0,21.1
1970-01-01 00:00:16.091,21.1,43,0,0,22.2,49.0,1023.0,21.0
1970-01-01 00:00:16.198,21.0,43,4095,0,21.1,43.0,0.0,21.0
1970-01-01 00:00:16.611,21.0,43,2602,0,21.0,43.0,4095.0,21.4
1970-01-01 00:00:19.011,21.4,48,0,0,21.0,43.0,2602.0,21.0
1970-01-01 00:00:27.831,21.0,43,2607,0,21.4,48.0,0.0,28.0
1970-01-01 00:00:35.723,28.0,42,0,0,21.0,43.0,2607.0,21.5
1970-01-01 00:00:38.538,21.5,42,0,0,28.0,42.0,0.0,21.0
1970-01-01 00:00:39.068,21.0,43,2365,0,21.5,42.0,0.0,21.5
1970-01-01 00:00:49.774,21.5,42,295,0,21.0,43.0,2365.0,21.0
1970-01-01 00:00:50.774,21.0,43,2533,0,21.5,42.0,295.0,28.0
1970-01-01 00:00:57.025,28.0,43,0,0,21.0,43.0,2533.0,21.4
1970-01-01 00:01:01.868,21.4,42,289,0,28.0,43.0,0.0,21.0
1970-01-01 00:01:01.967,21.0,43,2559,0,21.4,42.0,289.0,21.0
1970-01-01 00:01:13.020,21.0,43,0,0,21.0,43.0,2559.0,21.0
1970-01-01 00:01:13.143,21.0,43,2393,0,21.0,43.0,0.0,21.4
1970-01-01 00:01:13.220,21.4,42,240,0,21.0,43.0,2393.0,21.0
1970-01-01 00:01:24.339,21.0,43,2459,0,21.4,42.0,240.0,21.4
1970-01-01 00:01:24.426,21.4,42,4095,0,21.0,43.0,2459.0,21.0
1970-01-01 00:01:35.512,21.0,43,2496,0,21.4,42.0,4095.0,23.4
1970-01-01 00:01:37.628,23.4,50,0,0,21.0,43.0,2496.0,21.0
1970-01-01 00:01:46.714,21.0,43,2447,0,23.4,50.0,0.0,22.9
1970-01-01 00:01:47.772,22.9,49,1023,0,21.0,43.0,2447.0,21.0
1970-01-01 00:01:57.887,21.0,43,2460,0,22.9,49.0,1023.0,21.4
1970-01-01 00:01:58.088,21.4,42,0,0,21.0,43.0,2460.0,22.8
1970-01-01 00:01:59.800,22.8,49,1023,0,21.4,42.0,0.0,21.0
1970-01-01 00:02:09.077,21.0,43,2541,0,22.8,49.0,1023.0,22.7
1970-01-01 00:02:11.836,22.7,49,1023,0,21.0,43.0,2541.0,21.6
1970-01-01 00:02:15.795,21.6,49,0,0,22.7,49.0,1023.0,21.1
1970-01-01 00:02:20.330,21.1,43,2513,0,21.6,49.0,0.0,27.6
1970-01-01 00:02:20.658,27.6,43,0,0,21.1,43.0,2513.0,21.6
1970-01-01 00:02:28.513,21.6,48,0,0,27.6,43.0,0.0,23.4
1970-01-01 00:02:29.725,23.4,49,0,0,21.6,48.0,0.0,21.0
1970-01-01 00:02:32.065,21.0,43,2623,0,23.4,49.0,0.0,27.6
1970-01-01 00:02:41.754,27.6,44,0,0,21.0,43.0,2623.0,21.0
1970-01-01 00:02:43.286,21.0,43,2509,0,27.6,44.0,0.0,21.0
